@RELATION COFrac
@Attribute neighborhood NUMERIC
@Attribute fusion NUMERIC
@Attribute cooccurence NUMERIC
@Attribute coexpression NUMERIC
@Attribute textmining NUMERIC
@Attribute score NUMERIC
@ATTRIBUTE class {positive, negative}
@DATA
0,0,0,283,0,0.157002,negative
0,0,0,0,0,-0.018133,positive
0,0,0,0,0,0.038063,negative
0,0,0,0,0,0.131535,negative
0,0,0,0,0,-0.008389,negative
0,0,0,0,0,0.529015,negative
0,0,0,0,0,-0.015748,negative
0,0,0,0,0,0.024586,negative
0,0,0,0,571,-0.012732,negative
0,0,0,407,852,0.019777,positive
0,0,0,0,0,0.082797,negative
0,0,0,0,0,0.003767,negative
0,0,0,0,0,0.019565,negative
0,0,0,0,0,0.050669,negative
0,0,0,911,558,0.582186,positive
0,0,0,0,0,-0.003849,negative
0,0,0,0,656,0.121216,positive
0,0,0,0,0,0.089629,negative
0,0,0,0,0,0.005079,negative
0,0,0,964,781,0.223798,positive
0,0,0,0,0,0.001118,negative
0,0,0,543,863,0.000390,positive
0,0,0,0,0,0.016634,positive
0,0,0,0,0,0.032606,negative
0,0,0,0,0,-0.009556,negative
0,0,0,0,0,0.113557,negative
0,0,0,0,0,0.081503,negative
0,0,0,0,0,-0.014653,negative
654,0,0,999,502,0.032621,positive
0,0,0,75,142,0.298600,negative
0,0,0,0,0,0.011534,negative
0,0,0,991,957,0.932215,positive
0,0,0,0,0,0.035225,negative
0,0,0,0,0,0.008136,negative
0,0,0,96,175,0.518664,negative
0,0,0,103,113,0.008626,negative
0,0,0,0,0,0.013992,negative
0,0,0,0,0,0.074399,negative
0,0,0,143,108,0.043836,negative
0,0,0,0,994,0.002124,positive
0,0,0,159,876,-0.004957,positive
0,0,0,0,0,0.335523,negative
0,0,0,990,558,0.672882,positive
0,0,0,655,535,0.093859,positive
0,0,0,0,0,0.040917,negative
0,0,0,0,0,0.009834,negative
0,0,0,0,0,0.047269,negative
0,0,0,0,0,-0.007562,negative
0,0,0,0,0,-0.001363,negative
0,0,0,0,0,-0.015103,negative
0,0,0,0,0,0.039882,negative
0,0,0,0,0,0.040569,negative
0,0,0,0,0,-0.000461,negative
0,0,0,0,0,-0.007985,negative
0,0,0,0,0,-0.001373,negative
0,0,0,0,0,0.131963,negative
0,0,0,0,0,0.059807,negative
0,0,0,0,0,0.040365,negative
0,0,0,124,125,0.010810,negative
0,0,0,0,0,0.009335,negative
0,0,0,756,974,0.787783,positive
0,0,0,0,0,0.176617,negative
0,0,0,0,0,0.000467,negative
0,0,0,0,0,0.126417,negative
0,0,0,0,0,0.000597,negative
0,0,0,0,0,-0.007968,negative
