russel_U1 snRNP	LUC7
YBR084C-A	russel_Complex 196
YGL147C	russel_Complex 196
YMR072W	russel_Complex 197
YKR001C	russel_Complex 197
YKL172W	russel_Complex 198
YER117W	russel_Complex 198
YNL177C	russel_Complex 200
YNL221C	russel_RNase MRP
YNL282W	russel_RNase MRP
YBR257W	russel_RNase MRP
YAL033W	russel_RNase MRP
YBL018C	russel_RNase MRP
YHR062C	russel_RNase MRP
YNL244C	russel_Complex 202
YCL011C	russel_Complex 203
YHR167W	russel_Complex 203
YDR044W	russel_Complex 204
YAL017W	russel_Complex 204
YGR094W	russel_Complex 204
YPL154C	russel_Complex 205
YKL003C	russel_Complex 206
YNL186W	russel_Complex 206
YBL074C	russel_Complex 207
YCR063W	russel_Complex 207
YHR156C	russel_Complex 207
YJL146W	russel_Complex 208
YPL154C	russel_Complex 208
YNL102W	russel_DNA polymearse alpha-primase complex
YBL035C	russel_DNA polymearse alpha-primase complex
YIR008C	russel_DNA polymearse alpha-primase complex
YKL045W	russel_DNA polymearse alpha-primase complex
YLR276C	russel_Complex 210
YLL021W	russel_Complex 210
YOR078W	russel_Complex 211
YPR137W	russel_Complex 211
YDR050C	russel_Complex 212
YBR049C	russel_Complex 213
YBR205W	russel_Complex 214
YBR031W	russel_Complex 214
YGR061C	russel_Complex 215
YGL129C	russel_Complex 215
YMR308C	russel_Complex 216
YGR081C	russel_Complex 216
YLL021W	russel_Complex 216
YPL020C	russel_Complex 216
YDR035W	russel_Complex 217
YLR355C	russel_Complex 217
YKL139W	russel_C-terminal domain kinase I   complex
YJL006C	russel_C-terminal domain kinase I   complex
YML112W	russel_C-terminal domain kinase I   complex
YGR240C	russel_Spindle pole body
YAL047C	russel_Spindle pole body
YHR172W	russel_Spindle pole body
YNL126W	russel_Spindle pole body
YLR212C	russel_Spindle pole body
YDL055C	russel_Complex 220
YML056C	russel_Complex 221
YJL052W	russel_Complex 221
YNL084C	russel_Complex 222
YFR024C-A	russel_Complex 222
YNL243W	russel_Complex 222
YPL083C	russel_Complex 223
YOR187W	russel_Complex 223
YMR033W	russel_SWI-SNF global transcription activator complex
YDR073W	russel_SWI-SNF global transcription activator complex
YNR023W	russel_SWI-SNF global transcription activator complex
YBR289W	russel_SWI-SNF global transcription activator complex
YHL025W	russel_SWI-SNF global transcription activator complex
YPL016W	russel_SWI-SNF global transcription activator complex
YJL176C	russel_SWI-SNF global transcription activator complex
YER114C	russel_Boi2/Bem1/Cdc24 complex
YAL041W	russel_Boi2/Bem1/Cdc24 complex
YGL246C	russel_Rai1/Rat1 complex
YOR048C	russel_Rai1/Rat1 complex
YBR011C	russel_Complex 228
YLR371W	russel_Complex 228
YDL203C	russel_Complex 228
YDR385W	russel_Complex 229
YGR187C	russel_Complex 229
YLR436C	russel_Complex 230
YMR304W	russel_Complex 230
YBR122C	russel_Complex 231
YLR180W	russel_Anthranilate synthase complex
YER090W	russel_Anthranilate synthase complex
YKL211C	russel_Anthranilate synthase complex
YER111C	russel_"SBF, SWI4-SWI6-dependent cell cycle box binding factor complex "
YLR182W	russel_"SBF, SWI4-SWI6-dependent cell cycle box binding factor complex "
YMR167W	russel_Pms1/Mlh1 mismatch DNA repair complex
YNL082W	russel_Pms1/Mlh1 mismatch DNA repair complex
YDL167C	russel_Complex 237
YLR276C	russel_Complex 238
YLL021W	russel_Complex 238
YLR129W	russel_Small subunit  processome
YPR112C	russel_Small subunit  processome
YPL126W	russel_Small subunit  processome
YOR310C	russel_Small subunit  processome
YOR145C	russel_Small subunit  processome
YCR057C	russel_Small subunit  processome
YGL171W	russel_Small subunit  processome
YPR137W	russel_Small subunit  processome
YJL109C	russel_Small subunit  processome
YLR222C	russel_Small subunit  processome
YMR093W	russel_Small subunit  processome
YJL069C	russel_Small subunit  processome
YLR409C	russel_Small subunit  processome
YGR090W	russel_Small subunit  processome
YDR324C	russel_Small subunit  processome
YDR449C	russel_Small subunit  processome
YER082C	russel_Small subunit  processome
YGR128C	russel_Small subunit  processome
YHR196W	russel_Small subunit  processome
YLR003C	russel_Small subunit  processome
YGR162W	russel_Complex 240
YAL036C	russel_Complex 240
YNL238W	russel_Complex 241
