ORF	Complex
YDL088C	karyopherin docking subcomplex of the Nuclear Pore Complex (NPC)
YBL079W	karyopherin docking subcomplex of the Nuclear Pore Complex (NPC)
YMR153W	karyopherin docking subcomplex of the Nuclear Pore Complex (NPC)
YDL102W	DNA polymerase delta complex
YJR006W	DNA polymerase delta complex
YJR043C	DNA polymerase delta complex
YOL139C	eIF4F
YKR059W	eIF4F
YGR162W	eIF4F
YDL013W	Slx5p/Slx8p complex
YER116C	Slx5p/Slx8p complex
YPR175W	DNA polymerase epsilon complex
YBR278W	DNA polymerase epsilon complex
YDR121W	DNA polymerase epsilon complex
YNL262W	DNA polymerase epsilon complex
YMR012W	eIF3
YLR192C	eIF3
YMR309C	eIF3
YOR361C	eIF3
YBR079C	eIF3
YMR146C	eIF3
YDR429C	eIF3
YDR252W	nascent polypeptide-associated complex
YPL037C	nascent polypeptide-associated complex
YHR193C	nascent polypeptide-associated complex
YGL094C	PAN complex
YKL025C	PAN complex
YKL135C	AP-1 adaptor complex
YPR029C	AP-1 adaptor complex
YPL259C	AP-1 adaptor complex
YHL019C	AP-1 adaptor complex
YLR170C	AP-1 adaptor complex
YMR284W	Ku complex
YMR106C	Ku complex
YDR159W	Sac3p/Thp1p complex
YOL072W	Sac3p/Thp1p complex
YPL248C	GAL4p/GAL80p complex
YML051W	GAL4p/GAL80p complex
YIL072W	Synaptonemal complex (SC)
YLR263W	Synaptonemal complex (SC)
YDR285W	Synaptonemal complex (SC)
YGL249W	Synaptonemal complex (SC)
YEL053C	NatC complex
YPR051W	NatC complex
YCR020C-A	NatC complex
YMR275C	Rsp5p/Bul1 ubiquitin ligase complex
YER125W	Rsp5p/Bul1 ubiquitin ligase complex
YOL149W	Decapping Enzyme Complex
YNL118C	Decapping Enzyme Complex
YHR013C	NatA complex
YDL040C	NatA complex
YOR253W	NatA complex
YOR144C	DNA replication factor C complex (Elg1p)
YJR068W	DNA replication factor C complex (Elg1p)
YNL290W	DNA replication factor C complex (Elg1p)
YOL094C	DNA replication factor C complex (Elg1p)
YBR087W	DNA replication factor C complex (Elg1p)
YML102W	chromatin assembly complex
YBR195C	chromatin assembly complex
YPR018W	chromatin assembly complex
YGL200C	COPII
YAR002C-A	COPII
YAL007C	COPII
YML012W	COPII
YAL042W	COPII
YPL218W	COPII
YLR208W	COPII
YPL085W	COPII
YPR181C	COPII
YIL109C	COPII
YDL195W	COPII
YFL005W	Sro1p/Sec4p/Sec9p complex
YGR009C	Sro1p/Sec4p/Sec9p complex
YPR032W	Sro1p/Sec4p/Sec9p complex
YDL056W	MBF complex
YLR182W	MBF complex
YDL132W	nuclear ubiquitin ligase complex
YJR090C	nuclear ubiquitin ligase complex
YOL133W	nuclear ubiquitin ligase complex
YDR328C	nuclear ubiquitin ligase complex
YBR091C	mitochondrial inner membrane protein insertion complex
YOR297C	mitochondrial inner membrane protein insertion complex
YDL217C	mitochondrial inner membrane protein insertion complex
YJL054W	mitochondrial inner membrane protein insertion complex
YGL195W	Gcn1p/Gcn20p complex
YFR009W	Gcn1p/Gcn20p complex
YJL053W	retromer complex
YOR132W	retromer complex
YHR012W	retromer complex
YJL154C	retromer complex
YOR069W	retromer complex
YGL223C	Golgi transport complex
YGR120C	Golgi transport complex
YER157W	Golgi transport complex
YPR105C	Golgi transport complex
YNL051W	Golgi transport complex
YNL041C	Golgi transport complex
YGL005C	Golgi transport complex
YML071C	Golgi transport complex
YGR098C	Esp1p/Pds1p complex
YDR113C	Esp1p/Pds1p complex
YGR238C	Kel1p/Kel2p/Lte1p complex
YHR158C	Kel1p/Kel2p/Lte1p complex
YAL024C	Kel1p/Kel2p/Lte1p complex
YBR009C	Nucleosomal protein complex
YNL030W	Nucleosomal protein complex
YBR010W	Nucleosomal protein complex
YNL031C	Nucleosomal protein complex
YDR225W	Nucleosomal protein complex
YBL003C	Nucleosomal protein complex
YDR224C	Nucleosomal protein complex
YBL002W	Nucleosomal protein complex
YGL020C	GET complex
YER083C	GET complex
YDL100C	GET complex
YBR160W	Cdc28p/Cln2p complex
YPL256C	Cdc28p/Cln2p complex
YJR063W	DNA-directed RNA polymerase I complex
YPR010C	DNA-directed RNA polymerase I complex
YDR156W	DNA-directed RNA polymerase I complex
YOR341W	DNA-directed RNA polymerase I complex
YJL148W	DNA-directed RNA polymerase I complex
YOR340C	DNA-directed RNA polymerase I complex
YNL248C	DNA-directed RNA polymerase I complex
YOR210W	DNA-directed RNA polymerase I complex
YBR154C	DNA-directed RNA polymerase I complex
YOR224C	DNA-directed RNA polymerase I complex
YHR143W-A	DNA-directed RNA polymerase I complex
YNL113W	DNA-directed RNA polymerase I complex
YPR110C	DNA-directed RNA polymerase I complex
YPR187W	DNA-directed RNA polymerase I complex
YAL051W	OAF complex
YOR363C	OAF complex
YBL099W	F0/F1 ATP synthase (complex V)
YLR295C	F0/F1 ATP synthase (complex V)
YPL271W	F0/F1 ATP synthase (complex V)
YDL004W	F0/F1 ATP synthase (complex V)
YDR377W	F0/F1 ATP synthase (complex V)
YML081C-A	F0/F1 ATP synthase (complex V)
YOL077W-A	F0/F1 ATP synthase (complex V)
YJR121W	F0/F1 ATP synthase (complex V)
YPR020W	F0/F1 ATP synthase (complex V)
YBR039W	F0/F1 ATP synthase (complex V)
YPL078C	F0/F1 ATP synthase (complex V)
YDR298C	F0/F1 ATP synthase (complex V)
Q0085	F0/F1 ATP synthase (complex V)
YKL016C	F0/F1 ATP synthase (complex V)
Q0080	F0/F1 ATP synthase (complex V)
YDL181W	F0/F1 ATP synthase (complex V)
Q0130	F0/F1 ATP synthase (complex V)
YDR322C-A	F0/F1 ATP synthase (complex V)
YCR046C	mitochondrial ribosomal large subunit
YCR071C	mitochondrial ribosomal large subunit
YGL068W	mitochondrial ribosomal large subunit
YDR405W	mitochondrial ribosomal large subunit
YKL167C	mitochondrial ribosomal large subunit
YNL005C	mitochondrial ribosomal large subunit
YDR116C	mitochondrial ribosomal large subunit
YNL284C	mitochondrial ribosomal large subunit
YDL202W	mitochondrial ribosomal large subunit
YKR006C	mitochondrial ribosomal large subunit
YLR312W-A	mitochondrial ribosomal large subunit
YBL038W	mitochondrial ribosomal large subunit
YNL252C	mitochondrial ribosomal large subunit
YNL185C	mitochondrial ribosomal large subunit
YKR085C	mitochondrial ribosomal large subunit
YNL177C	mitochondrial ribosomal large subunit
YOR150W	mitochondrial ribosomal large subunit
YMR193W	mitochondrial ribosomal large subunit
YGR076C	mitochondrial ribosomal large subunit
YBR282W	mitochondrial ribosomal large subunit
YDR462W	mitochondrial ribosomal large subunit
YMR024W	mitochondrial ribosomal large subunit
YKL138C	mitochondrial ribosomal large subunit
YCR003W	mitochondrial ribosomal large subunit
YMR286W	mitochondrial ribosomal large subunit
YDR322W	mitochondrial ribosomal large subunit
YBR122C	mitochondrial ribosomal large subunit
YBR268W	mitochondrial ribosomal large subunit
YKL170W	mitochondrial ribosomal large subunit
YML009C	mitochondrial ribosomal large subunit
YLR439W	mitochondrial ribosomal large subunit
YPL173W	mitochondrial ribosomal large subunit
YMR225C	mitochondrial ribosomal large subunit
YJL096W	mitochondrial ribosomal large subunit
YNR022C	mitochondrial ribosomal large subunit
YPR100W	mitochondrial ribosomal large subunit
