complexID	ORF
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_14	
complex_15	NUP188
complex_15	PSY2
complex_15	HTB2
complex_15	ARG82
complex_15	HEX3
complex_15	TOP2
complex_15	YDL156W
complex_15	YBL046W
complex_15	STP1
complex_15	HHF2
complex_15	HTB1
complex_15	SPT5
complex_15	CKI1
complex_15	HHF1
complex_15	ABF2
complex_15	RRD1
complex_15	HTA2
complex_15	SLX8
complex_15	PPH3
complex_15	HTA1
complex_16	MSE1
complex_16	SAS5
complex_16	YHR127W
complex_16	RRS1
complex_16	YPR045C
complex_16	BRE5
complex_16	YCR087C-A
complex_16	RPF2
complex_16	YRA1
complex_16	CSN12
complex_16	YPL146C
complex_16	MET10
complex_16	NPY1
complex_16	DBP7
complex_16	YGR126W
complex_16	CUP2
complex_16	YDL053C
complex_16	MSC7
complex_16	ALG5
complex_16	UME6
complex_17	MRH1
complex_17	YNR021W
complex_17	RPL36B
complex_17	YOR193W
complex_17	SPC3
complex_17	SPC1
complex_17	SEC11
complex_17	FKS1
complex_17	TSC13
complex_17	RPL10
complex_17	SPC2
complex_17	RPL37A
complex_17	CTP1
complex_17	TCM62
complex_17	OLE1
complex_17	YFR022W
complex_17	FTR1
complex_17	RPP1A
complex_17	ERV25
complex_17	
complex_18	PTI1
complex_18	FUN21
complex_18	YAL046C
complex_18	YOR179C
complex_18	PFS2
complex_18	MPE1
complex_18	YTH1
complex_18	SWD2
complex_18	ECM21
complex_18	REF2
complex_18	YSH1
complex_18	YBL010C
complex_18	PTA1
complex_18	FIP1
complex_18	SSU72
complex_18	PAP1
complex_18	YLR358C
complex_18	CFT1
complex_18	CFT2
complex_18	
complex_19	RRP40
complex_19	RRP43
complex_19	LRP1
complex_19	SKI7
complex_19	DDI1
complex_19	SKI6
complex_19	RRP6
complex_19	RRP4
complex_19	RRP42
complex_19	CSL4
complex_19	RRP45
complex_19	YBL055C
complex_19	YNR024W
complex_19	DIS3
complex_19	MTR3
complex_19	OSM1
complex_19	ENT3
complex_19	RRP46
complex_19	
complex_19	
complex_20	CAJ1
complex_20	YGR198W
complex_20	SAC6
complex_20	ARC15
complex_20	SAR1
complex_20	YEL001C
complex_20	MSK1
complex_20	YIL105C
complex_20	INP52
complex_20	PST2
complex_20	YPR093C
complex_20	TCP1
complex_20	CRN1
complex_20	YIL039W
complex_20	PNO1
complex_20	CDC7
complex_20	YDR314C
complex_20	
complex_20	
complex_20	
complex_21	PRP28
complex_21	APP2
complex_21	YLR218C
complex_21	SLK19
complex_21	PCL10
complex_21	RVS167
complex_21	KIN2
complex_21	SAE2
complex_21	RVS161
complex_21	BAR1
complex_21	GYP5
complex_21	NCP1
complex_21	YBR108W
complex_21	VPS15
complex_21	HNT1
complex_21	MEF2
complex_21	YGR033C
complex_21	
complex_21	
complex_21	
complex_22	TOP1
complex_22	ZAP1
complex_22	YDR396W
complex_22	YGL024W
complex_22	YNL310C
complex_22	YLR454W
complex_22	IRA1
complex_22	YKL037W
complex_22	SML1
complex_22	MID1
complex_22	SHD7
complex_22	APC9
complex_22	MDM36
complex_22	BEM3
complex_22	SEC20
complex_22	REV1
complex_22	NUP42
complex_22	
complex_22	
complex_22	
complex_23	YRB2
complex_23	MET6
complex_23	HIS6
complex_23	SPE3
complex_23	YFR044C
complex_23	YLF2
complex_23	RAD14
complex_23	HIS4
complex_23	OYE2
complex_23	ARO1
complex_23	HRD1
complex_23	SPE4
complex_23	TIM11
complex_23	GDH1
complex_23	URA6
complex_23	ALA1
complex_23	SCP160
complex_23	
complex_23	
complex_23	
complex_24	COQ6
complex_24	DEP1
complex_24	RXT3
complex_24	CTI6
complex_24	YGR263C
complex_24	SIN3
complex_24	UME1
complex_24	RXT2
complex_24	PHO23
complex_24	SDS3
complex_24	EAF3
complex_24	RCO1
complex_24	ASH1
complex_24	GRX5
complex_24	RPD3
complex_24	SAP30
complex_24	
complex_24	
complex_24	
complex_24	
complex_25	PIL1
complex_25	NOP13
complex_25	LSP1
complex_25	PRP16
complex_25	PSK2
complex_25	PKH1
complex_25	YPL005W
complex_25	CDC20
complex_25	FOL2
complex_25	YTA6
complex_25	YMR086W
complex_25	YPR115W
complex_25	GZF3
complex_25	RPL9B
complex_25	YLR179C
complex_25	FAB1
complex_25	
complex_25	
complex_25	
complex_25	
complex_26	ATG14
complex_26	NHA1
complex_26	YNL119W
complex_26	PET127
complex_26	MES1
complex_26	YKL050C
complex_26	PHO91
complex_26	PHO89
complex_26	CAT8
complex_26	MGA2
complex_26	YLR247C
complex_26	CCC2
complex_26	ARC1
complex_26	MCA1
complex_26	HEK2
complex_26	YLR363W-A
complex_26	
complex_26	
complex_26	
complex_26	
complex_27	HHT2
complex_27	SEN1
complex_27	LEO1
complex_27	PSH1
complex_27	SPT16
complex_27	YHR035W
complex_27	CDC73
complex_27	BRO1
complex_27	PAF1
complex_27	AYT1
complex_27	YML107C
complex_27	GLO4
complex_27	RTF1
complex_27	YMR041C
complex_27	CTR9
complex_27	POB3
complex_27	
complex_27	
complex_27	
complex_27	
complex_28	CTF3
complex_28	CTF19
complex_28	MCM16
complex_28	IML3
complex_28	NKP1
complex_28	PRP18
complex_28	OKP1
complex_28	NKP2
complex_28	YNR062C
complex_28	ARG5,6
complex_28	AME1
complex_28	MCM21
complex_28	SET4
complex_28	CHL4
complex_28	MCM22
complex_28	
complex_28	
complex_28	
complex_28	
complex_28	
complex_29	YKL088W
complex_29	VHS3
complex_29	CHD1
complex_29	HOT1
complex_29	CKA1
complex_29	ELF1
complex_29	YLR387C
complex_29	YNL149C
complex_29	CKA2
complex_29	RIM13
complex_29	YLR407W
complex_29	NRG1
complex_29	CKB2
complex_29	MSC3
complex_29	CKB1
complex_29	
complex_29	
complex_29	
complex_29	
complex_29	
complex_30	HCR1
complex_30	SUI1
complex_30	TIF5
complex_30	TIF35
complex_30	YER030W
complex_30	NIP1
complex_30	PRT1
complex_30	HEM12
complex_30	ECM2
complex_30	TIF34
complex_30	YPL105C
complex_30	KAP122
complex_30	RPG1
complex_30	ADE8
complex_30	YOR052C
complex_30	
complex_30	
complex_30	
complex_30	
complex_30	
complex_31	YPL201C
complex_31	CLG1
complex_31	HRT2
complex_31	TFP1
complex_31	VMA13
complex_31	VMA10
complex_31	VMA2
complex_31	VMA7
complex_31	LAP3
complex_31	CUE1
complex_31	HAM1
complex_31	XDJ1
complex_31	GTR1
complex_31	VMA8
complex_32	YBR267W
complex_32	WTM1
complex_32	RIM11
complex_32	TOS5
complex_32	VIP1
complex_32	KAP114
complex_32	PRO3
complex_32	RPS6A
complex_32	YMR110C
complex_32	UBC8
complex_32	KCC4
complex_32	NAP1
complex_32	GIN4
complex_32	HTZ1
complex_33	SOK1
complex_33	ZUO1
complex_33	SGD1
complex_33	YOR091W
complex_33	YOR086C
complex_33	LYS4
complex_33	NEW1
complex_33	YLR072W
complex_33	YOR081C
complex_33	SSZ1
complex_33	HFM1
complex_33	YEF3
complex_33	FUN11
complex_33	
complex_34	RET3
complex_34	LCB5
complex_34	YLR051C
complex_34	SEC27
complex_34	YBR047W
complex_34	PIP2
complex_34	SEC21
complex_34	RET2
complex_34	SEC26
complex_34	COP1
complex_34	SEC28
complex_34	SCS2
complex_34	SEC2
complex_34	
complex_35	LEA1
complex_35	RSE1
complex_35	CWC21
complex_35	PRP11
complex_35	HSH49
complex_35	CUS1
complex_35	PRP9
complex_35	PRP45
complex_35	BUD31
complex_35	PRP21
complex_35	BUD13
complex_35	HSH155
complex_35	LOT6
complex_35	
complex_36	NUP60
complex_36	STO1
complex_36	KAP95
complex_36	PCT1
complex_36	NUP1
complex_36	CBC2
complex_36	SRP1
complex_36	OGG1
complex_36	ULP1
complex_36	YRA2
complex_36	RAD53
complex_36	NUP2
complex_36	YJR041C
complex_36	
complex_37	HHO1
complex_37	GVP36
complex_37	MFT1
complex_37	GBP2
complex_37	CPR7
complex_37	YNL140C
complex_37	RLR1
complex_37	SUB2
complex_37	HRB1
complex_37	THP2
complex_37	HPR1
complex_37	RIS1
complex_37	TEX1
complex_37	
complex_38	YOR227W
complex_38	PUF3
complex_38	SDS22
complex_38	YPL137C
complex_38	BNI4
complex_38	YLR257W
complex_38	BUD14
complex_38	YFR003C
complex_38	GLC7
complex_38	PPZ1
complex_38	SOL2
complex_38	SOL1
complex_38	GLC8
complex_38	
complex_39	KIC1
complex_39	YDR348C
complex_39	RFX1
complex_39	PIK1
complex_39	YNR014W
complex_39	APG1
complex_39	REG1
complex_39	UBP11
complex_39	ASK10
complex_39	NTH1
complex_39	BMH2
complex_39	SOG2
complex_39	
complex_39	
complex_40	YER004W
complex_40	CDC26
complex_40	CDC23
complex_40	APC4
complex_40	CDC16
complex_40	SSP2
complex_40	APC2
complex_40	MND2
complex_40	CDC27
complex_40	DOC1
complex_40	APC5
complex_40	APC1
complex_40	
complex_40	
complex_41	YGR054W
complex_41	LSM6
complex_41	LSM3
complex_41	PAT1
complex_41	LSM1
complex_41	LSM7
complex_41	LSM8
complex_41	LSM5
complex_41	LSM2
complex_41	PRP24
complex_41	KEM1
complex_41	LSM4
complex_41	
complex_41	
complex_42	LOC1
complex_42	BUR2
complex_42	BRX1
complex_42	TSR1
complex_42	NHP6A
complex_42	YDR117C
complex_42	BFR1
complex_42	RIM1
complex_42	PRK1
complex_42	SGV1
complex_42	SPB1
complex_42	APN2
complex_42	
complex_42	
complex_43	CDC9
complex_43	POR1
complex_43	MEP3
complex_43	CAK1
complex_43	CDC53
complex_43	MET30
complex_43	GRR1
complex_43	YBR280C
complex_43	RTT101
complex_43	MOR1
complex_43	CDC34
complex_43	MMS1
complex_43	
complex_43	
complex_44	DBP3
complex_44	YDR381C-A
complex_44	YOL008W
complex_44	NHP2
complex_44	FYV14
complex_44	DSE4
complex_44	KRR1
complex_44	GAR1
complex_44	NOP10
complex_44	KRI1
complex_44	YCR016W
complex_44	
complex_44	
complex_44	
complex_45	DPH2
complex_45	TRX1
complex_45	PGI1
complex_45	EFT2
complex_45	HGH1
complex_45	YJL046W
complex_45	YMR315W
complex_45	EFT1
complex_45	MNN1
complex_45	KIF48
complex_45	YJL062W-A
complex_45	
complex_45	
complex_45	
complex_46	POP7
complex_46	POP4
complex_46	POP5
complex_46	SNM1
complex_46	RPR2
complex_46	RPP1
complex_46	POP3
complex_46	POP1
complex_46	POP6
complex_46	YLR145W
complex_46	
complex_46	
complex_46	
complex_46	
complex_47	PPH21
complex_47	ZDS2
complex_47	YRR1
complex_47	ZDS1
complex_47	CDC55
complex_47	PHR1
complex_47	RRD2
complex_47	TPD3
complex_47	PPH22
complex_47	FIR1
complex_48	GAL80
complex_48	ATP3
complex_48	SGN1
complex_48	CIK1
complex_48	FYV3
complex_48	YML002W
complex_48	YGR250C
complex_48	PMI40
complex_48	ARG3
complex_48	YOR1
complex_49	GCD6
complex_49	GCD1
complex_49	GCD7
complex_49	GCD11
complex_49	MRF1
complex_49	GCD2
complex_49	ADE1
complex_49	SUI2
complex_49	GCN3
complex_49	MRH4
complex_50	ORC1
complex_50	ORC2
complex_50	SWE1
complex_50	HAT2
complex_50	YJR154W
complex_50	ORC6
complex_50	HAT1
complex_50	ORC5
complex_50	ORC3
complex_50	ORC4
complex_51	ERF2
complex_51	SWD1
complex_51	YHR029C
complex_51	SPP1
complex_51	SDC1
complex_51	SET1
complex_51	SWD3
complex_51	SHG1
complex_51	BRE2
complex_51	YLL023C
complex_52	IMG2
complex_52	MRPL25
complex_52	MRPL15
complex_52	MRPL4
complex_52	MRPL9
complex_52	MRPL1
complex_52	MRPL10
complex_52	MRP20
complex_52	MRPL3
complex_52	MRPL40
complex_53	UTP5
complex_53	UTP15
complex_53	NAN1
complex_53	UTP8
complex_53	UTP4
complex_53	GFD2
complex_53	UTP10
complex_53	POL5
complex_53	UTP9
complex_53	
complex_54	ATE1
complex_54	SIC1
complex_54	CKS1
complex_54	CLB5
complex_54	YLR187W
complex_54	CLB4
complex_54	CLB3
complex_54	CDC28
complex_54	CLB2
complex_54	
complex_55	YOR287C
complex_55	PSP2
complex_55	TIF1
complex_55	CAF20
complex_55	EAP1
complex_55	CDC33
complex_55	TIF4632
complex_55	TIF4631
complex_55	SLF1
complex_55	
complex_56	DRC1
complex_56	HSP150
complex_56	ERG11
complex_56	YMR323W
complex_56	TUB2
complex_56	WAR1
complex_56	ALD6
complex_56	CYS4
complex_56	CCT8
complex_56	
complex_57	CMD1
complex_57	CNB1
complex_57	CMK2
complex_57	YGL242C
complex_57	MYO5
complex_57	CMP2
complex_57	CMK1
