Source	Windowsize	Prot-prob	Precision	Recall	Fmeasure	Auc_pr	Auc_roc
all_0208	100	0.012691	0.533266129032	0.34173126615	0.416535433071	0.492354425412	0.640956072351
all_0208	100	0.012979	0.498519249753	0.326227390181	0.394377196408	0.468521037452	0.630297157623
all_0208	100	0.013267	0.508970727101	0.34819121447	0.413502109705	0.48289836958	0.640503875969
all_0208	100	0.013572	0.500978473581	0.330749354005	0.398443579767	0.471634800959	0.632428940568
all_0208	100	0.013911	0.499515033948	0.332687338501	0.399379604498	0.471710574683	0.633010335917
all_0208	100	0.014263	0.503362151777	0.33850129199	0.404789494013	0.476056614218	0.635852713178
all_0208	100	0.014613	0.531894013739	0.350129198966	0.422282820413	0.495167506439	0.644250645995
all_0208	100	0.014966	0.52103250478	0.352067183463	0.420200462606	0.490544245499	0.643669250646
all_0208	100	0.015334	0.493150684932	0.325581395349	0.392217898833	0.465567590528	0.629328165375
all_0208	100	0.015701	0.511834319527	0.335271317829	0.405152224824	0.478946875526	0.635658914729
all_0208	101	0.012279	0.505314009662	0.337855297158	0.404955478126	0.476763378647	0.635852713178
all_0208	101	0.012565	0.515063168124	0.342377260982	0.411331005045	0.483522109471	0.638953488372
all_0208	101	0.012852	0.515422885572	0.334625322997	0.405797101449	0.480471994035	0.635852713178
all_0208	101	0.013137	0.516159695817	0.350775193798	0.417692307692	0.487569511991	0.642506459948
all_0208	101	0.013441	0.511741682975	0.337855297158	0.407003891051	0.479977215303	0.63669250646
all_0208	101	0.013777	0.522044088176	0.336563307494	0.409269442262	0.484590088877	0.637467700258
all_0208	101	0.014125	0.525703200776	0.350129198966	0.420317952695	0.492072099957	0.643475452196
all_0208	101	0.014473	0.509268292683	0.337209302326	0.40575204042	0.478471355644	0.636111111111
all_0208	101	0.014823	0.517343904856	0.337209302326	0.408290965976	0.48250916173	0.637144702842
all_0208	101	0.015187	0.497593840231	0.333979328165	0.3996907615	0.471288306851	0.63326873385
all_0208	101	0.015550	0.508165225744	0.34173126615	0.408651989185	0.479803973768	0.637790697674
all_0208	102	0.012442	0.5185546875	0.343023255814	0.412908242613	0.485537033672	0.639664082687
