#GeneName	Tissuespecficity
ARG1	Tissue enhanced
ARG2	Group enriched
ARGLU1	Expressed in all
ARHGAP1	Expressed in all
ARHGAP10	Expressed in all
ARHGAP12	Expressed in all
ARHGAP15	Expressed in all
ARHGAP17	Expressed in all
ARHGAP18	Expressed in all
ARHGAP19	Expressed in all
ARHGAP21	Expressed in all
ARHGAP23	Expressed in all
ARHGAP24	Expressed in all
ARHGAP25	Tissue enhanced
ARHGAP26	Expressed in all
ARHGAP27	Expressed in all
ARHGAP28	Tissue enhanced
ARHGAP30	Expressed in all
ARHGAP32	Expressed in all
ARHGAP33	Expressed in all
ARHGAP35	Expressed in all
ARHGAP36	Tissue enriched
ARHGAP39	Tissue enhanced
ARHGAP4	Expressed in all
ARHGAP40	Group enriched
ARHGAP5	Expressed in all
ARHGAP6	Tissue enhanced
ARHGAP9	Expressed in all
ARHGDIA	Expressed in all
ARHGDIB	Expressed in all
ARHGDIG	Tissue enhanced
ARHGEF1	Expressed in all
ARHGEF10	Expressed in all
ARHGEF10L	Expressed in all
ARHGEF11	Expressed in all
ARHGEF12	Expressed in all
ARHGEF17	Expressed in all
ARHGEF18	Expressed in all
ARHGEF2	Expressed in all
ARHGEF3	Expressed in all
ARHGEF33	Tissue enhanced
ARHGEF38	Tissue enhanced
ARHGEF4	Tissue enhanced
ARHGEF40	Expressed in all
ARHGEF6	Expressed in all
ARHGEF7	Expressed in all
ARHGEF9	Expressed in all
ARID1A	Expressed in all
ARID1B	Expressed in all
ARID2	Expressed in all
ARID3A	Tissue enhanced
ARID3C	Tissue enriched
ARID4A	Expressed in all
ARID4B	Expressed in all
ARID5A	Expressed in all
ARID5B	Expressed in all
ARIH1	Expressed in all
ARIH2	Expressed in all
ARL1	Expressed in all
ARL13A	Tissue enriched
ARL14	Group enriched
ARL14EP	Expressed in all
ARL15	Expressed in all
ARL16	Expressed in all
ARL17A	Expressed in all
ARL17B	Expressed in all
ARL2	Expressed in all
